"filename", "language", "JSON", "PostCSS", "PHP", "Markdown", "XML", "Properties", "Batch", "JavaScript", "Shell Script", "Diff", "YAML", "Ignore", "HTML", "reStructuredText", "comment", "blank", "total"
"c:\Users\alter\gw2-guild-login\includes\class-gw2-user-handler.php", "PHP", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 40, 364
"c:\Users\alter\gw2-guild-login\includes\migrations\20250530000000_add_2fa_tables.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 2, 33
"c:\Users\alter\gw2-guild-login\phpcs.xml", "XML", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 22, 137
"c:\Users\alter\gw2-guild-login\phpstan-bootstrap.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 41
"c:\Users\alter\gw2-guild-login\templates\dashboard\dashboard.php", "PHP", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 22, 271
"c:\Users\alter\gw2-guild-login\templates\template-guild-only.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 17, 106
"c:\Users\alter\gw2-guild-login\test-admin-interface.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 100
"c:\Users\alter\gw2-guild-login\test-enhanced-reports.php", "PHP", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 169
"c:\Users\alter\gw2-guild-login\tests\GW2_2FA_HandlerEncryptTest.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\alter\gw2-guild-login\tests\GW2_2FA_HandlerTest.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\alter\gw2-guild-login\tests\GW2_API_CacheTest.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"c:\Users\alter\gw2-guild-login\tests\SampleTest.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\alter\gw2-guild-login\tests\bootstrap.php", "PHP", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 14, 106
"c:\Users\alter\gw2-guild-login\vendor\autoload.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\alter\gw2-guild-login\vendor\bin\php-parse.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\alter\gw2-guild-login\vendor\bin\phpcbf.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
